"period";"value";"obs_status";"source";"ref_area";"freq";"unit_measure";"unit_mult"
"2021-11-01";96;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2021-12-01";104;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2022-01-01";64;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2022-02-01";32;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2022-03-01";-22;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2022-04-01";22;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2019-01-01";15;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2019-02-01";15;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2019-03-01";27;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2019-04-01";9;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2019-05-01";29;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2019-06-01";-15;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2019-07-01";20;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2019-08-01";30;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2019-09-01";37;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2019-10-01";22;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2019-11-01";33;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2019-12-01";25;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2020-01-01";26;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2020-02-01";40;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2020-03-01";22;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
